,alert_type,headline,url,post
12,Road Conditions,I-29 CLOSED from Grand Forks to the Canadian Border,/dotnet/news/Public/View/8325,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED I-29 from Grand Forks to the Canadian Border due to snow and blowing snow which is creating near zero visibility and ditches full of water adding to the hazardous driving conditions. I-29 is now CLOSED from the Canadian Border to the South Dakota Line. Also I-94 CLOSED from Jamestown to Fargo and ND Highway 13 is CLOSED from I-29 to Wahpeton. 
 
A No Travel Advisory is still in effect for east of Jamestown, Hillsboro, Valley City, Fargo, Casselton, Lisbon, Edgeley, Ellendale, Ashley, Wahpeton and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.  
 
Commercial Motor Vehicle parking is becoming LIMITED at the interstate closure points in eastern North Dakota. Commercial Motor Vehicles should consider stopping prior to closure points. Jamestown especially has limited truck park available and commercial trucks should consider stopping in Bismarck or Steele. 
 
 
The three categories are as follows:
 
1.   TRAVEL ALERT– Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate. 
 
2.   NO TRAVEL ADVISED– Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.  
 
3.   ROAD CLOSED OR BLOCKED– Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250. 
 
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
 
 
For statewide flooding information, please go https://ndresponse.gov/"
14,Road Conditions,I-29 CLOSED from Fargo to Grand Forks; I-94 CLOSED from Jamestown to Fargo; Truck parking limited at North Dakota interstate closure points,/dotnet/news/Public/View/8323,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED I-29 from Fargo to Grand Forks and have also CLOSED I-94 from Jamestown to Fargo due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
A No Travel Advisory has also been issued for east of Jamestown, Hillsboro, Valley City and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
Commercial Motor Vehicle parking is becoming LIMITED at the interstate closure points in eastern North Dakota. Commercial Motor Vehicles should consider stopping prior to closure points. Jamestown especially has limited truck park available and commercial trucks should consider stopping in Bismarck or Steele. 
Other road closures include:

I-29 from Fargo to the South Dakota Border
ND Highway 13 from I-29 to Wahpeton

Also a No Travel Advisory is still in effect for the following cities: Fargo, Casselton, Lisbon, Edgeley, Ellendale, Ashley, Wahpeton and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
The three categories are as follows:

TRAVEL ALERT– Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
NO TRAVEL ADVISED– Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
ROAD CLOSED OR BLOCKED– Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.

All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/"
15,Road Conditions,No Travel Advisory extended in southeastern portion of the state,/dotnet/news/Public/View/8322,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have extended the No Travel Advisory in the southeastern portion of the state to include Fargo, Casselton, Lisbon, Edgeley, Ellendale, Ashley and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions. Also a No Travel Advisory is still in effect for Wahpeton and surrounding areas.
Road Closures include:

I-29 from Fargo to the South Dakota Border
ND Highway 13 from I-29 to Wahpeton

The three categories are as follows:

TRAVEL ALERT– Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
NO TRAVEL ADVISED– Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.

 

ROAD CLOSED OR BLOCKED– Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.

All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/"
16,Road Conditions,No Travel Advised for Wahpeton and surrounding areas ,/dotnet/news/Public/View/8320,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have issued a No Travel Advisory for Wahpeton and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
A No Travel Advised means conditions are such that motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported."
17,Road Conditions,I-29 CLOSED from Fargo to South Dakota Border; ND Highway 13 CLOSED from I-29 to Wahpeton,/dotnet/news/Public/View/8321,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED I-29 from Fargo to the South Dakota Border and have also CLOSED ND Highway 13 from I-29 to Wahpeton, due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
A No Travel Advisory is in effect for Wahpeton and surrounding areas due to snow and blowing snow which is creating near zero visibility and hazardous driving conditions.
The three categories are as follows:

TRAVEL ALERT– Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
NO TRAVEL ADVISED– Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
ROAD CLOSED OR BLOCKED– Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.

All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/"
18,Road Conditions,Northbound I-29 Exit 164 north of Grand Forks Temporarily Closed,/dotnet/news/Public/View/8319,"The North Dakota Department of Transportation has temporarily closed the northbound off-ramp of I-29 Exit 164, approximately 20 miles north of Grand Forks, due to water on the roadway. This exit will be closed until river levels recede and motorists will need to take an alternate route.
The NDDOT urges motorists to check road conditions before traveling due to rapidly changing conditions. Fluctuating water levels make it difficult to predict when and where water will go over a roadway or recede from the roadway. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov."
19,Road Conditions,Highway 54 CLOSED from I-29 to the Red River ,/dotnet/news/Public/View/8318,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED Highway 54 from I-29 to the Red River due to water over the road until river levels recede. There is no signed detour. Motorists are asked to use alternate routes.
NDDOT encourages motorists to check road conditions before traveling. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov"
21,Road Conditions,Motorists to use caution as winter storm and flooded ditches could impact travelers ,/dotnet/news/Public/View/8316,"The North Dakota Department of Transportation (NDDOT) is urging motorists to use caution if planning to travel this week in eastern North Dakota as the National Weather Service has issued a Winter Storm Warning for portions of the state. Because of the current flood conditions this spring, there is extra concern for motorists due to water filled ditches along many roadways in eastern North Dakota. Motorists should slow down and drive for the conditions if road conditions deteriorate.
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.
For statewide flooding information, please go https://ndresponse.gov/."
22,Road Conditions,I-29 closed in South Dakota; Water on roadway on ND 1 at SD border,/dotnet/news/Public/View/8315,"Officials with the South Dakota Departments of Transportation and Public Safety have closed Interstate 29 from Brookings to the North Dakota border due to blizzard conditions. 
In addition, water is on the roadway on ND Highway 1 at the South Dakota border. Motorists must stop and take turns. The NDDOT urges motorists to check road conditions before traveling due to rapidly changing conditions. Fluctuating water levels make it difficult to predict when and where water will go over a roadway or recede from the roadway.
The NDDOT encourages motorists to check road conditions before traveling due to rapidly changing conditions. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov."
24,Road Conditions,"ND 54 near Oslo, MN to temporarily close due to flooding ",/dotnet/news/Public/View/8313,"ND Highway 54 is anticipated to temporarily close from I-29 to the Red River near Oslo, MN due to flooding. Motorists must utilize an alternate route during the closure.
Motorists should drive with caution as flooding continues to affect the area highways and should check road conditions before traveling due to rapidly changing conditions. For road information, call 511 from any type of phone or go to the website www.dot.nd.gov.
NDDOT warns motorists that driving through water is dangerous and should not drive around barricades or into flooded areas as vehicles that leave the roadway may become immersed in high water. For road information, call 511 from any type of phone or go to the Travel Information Map on our website: https://www.dot.nd.gov/travel-info-v2/"
25,Road Conditions,Sorlie Bridge in Grand Forks temporarily closed due to flooding ,/dotnet/news/Public/View/8312,"The North Dakota Department of Transportation (NDDOT) along with the Minnesota Department of Transportation (MnDOT) have closed the Sorlie Bridge in Grand Forks/East Grand Forks as of noon, April 8 due to flooding on Business US Highway 2 (DeMers Ave.) near the bridge. The bridge will remain closed until river levels recede.
In addition, MnDOT has closed the following roadways in Minnesota which may impact North Dakota drivers.

MN 317,  which is across the river from ND 17 east of Grafton
MN 220, which is the north/south roadway adjacent to the Red River which goes from Oslo, MN (ND 54) to Robin (ND 66 at Drayton)

Motorists should drive with caution as flooding continues to affect the area highways and should check road conditions before traveling due to rapidly changing conditions. For road information, call 511 from any type of phone or go to the website www.dot.nd.gov.
NDDOT warns motorists that driving through water is dangerous and should not drive around barricades or into flooded areas as vehicles that leave the roadway may become immersed in high water. For road information, call 511 from any type of phone or go to the Travel Information Map on our website: https://www.dot.nd.gov/travel-info-v2/"
26,Road Conditions,Sorlie Bridge to temporarily close due to flooding,/dotnet/news/Public/View/8311,"The North Dakota Department of Transportation (NDDOT) along with the Minnesota Department of Transportation (MnDOT) anticipate the closure of the Sorlie Bridge due to flooding on Business US Highway 2 (DeMers Ave) near the bridge. The closure is expected to take place the middle of next week. Motorists must use an alternative route during the closure. The cities of Grand Forks and East Grand Forks will announce its closure as it fits into the cities flood efforts.
Motorists should drive with caution as flooding continues to affect the area highways and should check road conditions before traveling due to rapidly changing conditions. For road information, call 511 from any type of phone or go to the website www.dot.nd.gov.
NDDOT warns motorists that driving through water is dangerous and should not drive around barricades or into flooded areas as vehicles that leave the roadway may become immersed in high water. For road information, call 511 from any type of phone or go to the Travel Information Map on our website: https://www.dot.nd.gov/travel-info-v2/"
31,Road Conditions,Seasonal load restrictions added or changed on North Dakota Highways on April 2,/dotnet/news/Public/View/8306,"Effective 7 a.m. (CT), Tuesday, April 2, 2019, load restrictions will be added on the following North Dakota Highways:

Highway
3 from Rugby to the Canadian Border
Highways south of and including Highway 2 from
the Jct. of
Highway 3 east
to the Jct. of Highway 1
Highway
1 from the
Jct. of Highway 2 south to the
Jct. of Highway 65
Highway 15 from the Jct. of
Highway 1 east to the Jct. of Highway 32 
Highway 66 from the Jct. of
Highway 20 east
to the Jct. of Highway 1


Effective 7 a.m. (CT), Tuesday, April 2, 2019, load restrictions will be changed on
North Dakota Highway 200 from
Cartwright to the Jct. of Highway 85.
Motorists
are encouraged to check current load restrictions to determine which load
restriction remain in effect. Load restrictions may change quickly due to
weather. Statewide seasonal load restriction information is
available by calling 511 or online at www.dot.nd.gov/travel-info. 
Please refer to the following
link to see details of load restrictions for current and future orders, obtain printable maps and Text Version. http://www.dot.nd.gov/roadreport/loadlimit/loadlimitinfo.asp"
33,Road Conditions,New seasonal load restrictions added to North Dakota Highway 200 tomorrow,/dotnet/news/Public/View/8304,"Effective 7 a.m. (CT) tomorrow, Friday, March 29, 2019, load restrictions will be added on North Dakota Highway 200 from the Jct of Hwy 85 West to the Montana Border.
Motorists are encouraged to check current load restrictions to determine which load restrictions remain in effect. Load restrictions may change quickly due to weather. Statewide seasonal load restriction information is available by calling 511 or online at www.dot.nd.gov/travel-info. Please refer to the following link to see details of load restrictions for current and future orders, obtain printable maps and Text Version. http://www.dot.nd.gov/roadreport/loadlimit/loadlimitinfo.asp."
34,Road Conditions,"Highway 200 now open with 5 ton load restriction
",/dotnet/news/Public/View/8303,"The North Dakota Department of Transportation (NDDOT) has OPENED Highway 200 near Cartwright (mile point 2) to the junction of Highway 58 as the water has receded from the roadway, but travel speeds are reduced.
Also a 5-ton load restriction has been placed on Highway 200 from the junction of Highway 58 to Cartwright until further notice due to weak subgrades caused by the flood water. Motorists are encouraged to check current load restrictions to determine which load restrictions remain in effect.
Load restrictions may change quickly due to weather. Statewide seasonal load restriction information is available by calling 511 or online at www.dot.nd.gov/travel-info. Please refer to the following link to see details of load restrictions for current and future orders, obtain printable maps and Text Version. http://www.dot.nd.gov/roadreport/loadlimit/loadlimitinfo.asp."
36,Road Conditions,New seasonal load restrictions added to a number of North Dakota Highways tomorrow,/dotnet/news/Public/View/8301,"Effective 7 a.m. (CT) tomorrow, March 28, 2019, load restrictions will be added on the following North Dakota Highways:

Highway 3 west to the Montana border
Highway 1 from the Jct of 26 south to the South Dakota border
From Highway 1 west to the Montana Border
South of interstate I-94 to the South Dakota Border west of Valley City
Highway 46 from the Jct of highway 1 east to the Cass County line
Highway 32 from the Jct of 46 North to the Jct of highway 38
Highway 26 from the Jct of Highway 32 west to the Jct of Highway 1
Highway 9 from the Jct of Highway 1 west to the Jct of Highway 52
Highway 20 from the Jct of 200 south to Jamestown
Highway 52 from the Jct of 36 south to I-94
Highway 36 from the Jct of 52 west to the Montana Border

Motorists are encouraged to check current load restrictions to determine which load restrictions remain in effect. Load restrictions may change quickly due to weather. Statewide seasonal load restriction information is available by calling 511 or online at www.dot.nd.gov/travel-info. Please refer to the following link to see details of load restrictions for current and future orders, obtain printable maps and Text Version. http://www.dot.nd.gov/roadreport/loadlimit/loadlimitinfo.asp."
37,Road Conditions,Highway 24 west of Solen open ,/dotnet/news/Public/View/8300,"The North Dakota Department of Transportation (NDDOT) has OPENED Highway 24 west of Solen. This highway was closed yesterday due to water over the roadway.
The NDDOT encourages motorists to check road conditions before traveling due to rapidly changing conditions. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov."
38,Road Conditions,Highway 24 west of Solen CLOSED due to water on roadway,/dotnet/news/Public/View/8299,"The North Dakota Department of Transportation (NDDOT) has CLOSED Highway 24 west of Solen until further notice due to water over the road. There is no signed detour. Motorists are asked to use alternate routes.
The NDDOT encourages motorists to check road conditions before traveling due to rapidly changing conditions. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov."
40,Road Conditions,Highway 200 CLOSED from Cartwright to Highway 58 junction ,/dotnet/news/Public/View/8297,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED Highway 200 near Cartwright (mile point 2) to the Highway 58 Junction until further notice due to water over the road. There is no signed detour. Motorists are asked to use alternate routes.
NDDOT encourages motorists to check road conditions before traveling. For updated road information, call 511 from any type of phone or go to the Travel Information Map on our website at www.dot.nd.gov."
