,date,geo,hashtags,text,type,username
10,2019-04-16 22:52:07+00:00,,,"Intermittent overnight Hwy 61 traffic delays planned tonight, April 16 near Red Wing Bridge to move equipment.http://www.dot.state.mn.us/d6/newsrels/19/04/16-hwy61.html …",official,mndotsoutheast
11,2019-04-16 18:06:31+00:00,,#mndot #wabasha #lakecitymn #MississippiRiverpic,"Folks who live, work and play along Highway 61 can find out more about this summer's construction work at an open house, April 24th. To learn more about the project or sign up for construction emails go to https://bit.ly/2GjzyMX #mndot #wabasha #lakecitymn #MississippiRiverpic.twitter.com/EtXRC0apaK",official,mndotsoutheast
12,2019-04-15 21:01:55+00:00,,#MnDOT #RedWingMNhttps,"Work continues on the Red Wing Bridge. What does it take to put a span from the Red Wing side to Pier 1? Watch the accelerated view in this time lapse. Note all of our season's snow, too! #MnDOT #RedWingMNhttps://www.youtube.com/watch?v=GBdUxy0Yfa4&feature= …",official,mndotsoutheast
13,2019-04-15 20:25:24+00:00,,#mndot #rochmnpic,"In 2018, volunteers picked up nearly 36,000 bags of litter and cleaned up almost 9,000 miles of roadways. THANK YOU to all those who helped make Minnesota cleaner! If you'd like to help this year visit http://www.dot.state.mn.us/adopt/ for more information. #mndot #rochmnpic.twitter.com/NMUnqd1IiP",official,mndotsoutheast
14,2019-04-15 16:08:14+00:00,,#MNDOT #adoptahighwayhttps,In SE Minnesota 595 groups participate in cleaning state highways in 11 counties. We have 63 segments still available. Interested SE Minnesota groups may call 507-286-7508 to inquire. #MNDOT #adoptahighwayhttps://twitter.com/MnDOTnews/status/1117814566723911680 …,official,mndotsoutheast
15,2019-04-15 13:47:47+00:00,,#Flood #Wabasha #MnDOT,#Flood waters have receded enough to open up Highway 60 in #Wabasha #MnDOT crews are cleaning off the debris and will open it soon.pic.twitter.com/CnjDUt8CRb,official,mndotsoutheast
16,2019-04-22 17:35:12+00:00,,,"Starting today, I-94 from Hwy 29 to 114 is reduced to one lane in both directions. Eastbound lanes are closed until September as crews complete resurfacing & replace the eastbound Lake Latoka Bridge. Lake Latoka Rest Area is also closed for the summer. http://mndot.gov/d4/projects/i94eastbound …pic.twitter.com/op2wlxsyxc",official,mndotwcentral
17,2019-04-22 16:28:03+00:00,,,"We'll be in Elbow Lake this Wednesday, April 24, 4:30-6:30 p.m., at the Grant Co Office Building to talk about this year's construction project on Hwys 55, 59 and 79. Join us any time to learn more about the project/schedule. http://mndot.gov/d4/projects/elbowlake …pic.twitter.com/rJu3VY9IRL",official,mndotwcentral
18,2019-04-22 14:41:49+00:00,,,Mark Welling funeral. Our hearts go out to the Welling family. Mark will be greatly missed!pic.twitter.com/tY2aQo21N7,official,mndotwcentral
19,2019-04-20 14:20:09+00:00,,,"Join us next Saturday, April 27 from 9 a.m. to noon, at the MnDOT Open House, 1000 Highway 10 W, Detroit Lakes! This is a free event for the public to check out the tools, equipment, technology, jobs and careers that help MnDOT serve Minnesota motorists each day. See you there!pic.twitter.com/b6JqvVQSY3",official,mndotwcentral
20,2019-04-17 22:54:10+00:00,,,"At 6 p.m., U.S. Hwy 12 east of Ortonville from the Hwy 75/7 intersection to Co Rd 23 will be closed due to flooding. Traffic will be routed to Co Rd 23 and Hwy 7 until the water recedes and the road is reopened. It is illegal to travel on a closed road. http://511mn.org pic.twitter.com/aeiAtHqYUq",official,mndotwcentral
21,2019-04-14 16:26:31+00:00,,,"MnDOT is presenting on the corridor study for Hwy 27 on Tuesday, April 16, at approximately 10:00 a.m. during the 9:00 a.m. Douglas County Board meeting (Douglas County Courthouse), to provide recommendations for Hwy 27 and I-94 corridor in Alexandria.pic.twitter.com/EkfS8D3gHS",official,mndotwcentral
22,2019-04-22 01:11:36+00:00,,,Forecasted rain during the next day could create challenges for drivers in area already hard it by last weeks rains. Slides along Hwy 169 could occur once again. Stay aware. Check http://511mn.org before you travel.https://twitter.com/nwstwincities/status/1120073535815340033 …,official,mndotscentral
23,2019-04-20 19:49:49+00:00,,,ROAD CLOSING SOON - Hwy 93 between Hwy 169 and Le Sueur will be closing soon. Photo below as was taken around 1:15 pm and water is continuing to rise. Check http://511mn.org for the latest traveler info.pic.twitter.com/T9D51TZRdb,official,mndotscentral
24,2019-04-19 15:42:28+00:00,,,We agree that the 2022 project will provide less improvement than the 3 options in the study to provide access Henderson. The study used a threshold of 1 foot over the 100 year flood elevation. The detail of each solution is detail in the report including the cost feasibility.,official,mndotscentral
25,2019-04-19 14:29:35+00:00,,,Until then we will continue to look for the most effective way to get traffic back on Hwy 93 and/or 19 as conditions evolve when water recedes. We will continue to share status updates on social media and in the Henderson Independent.,official,mndotscentral
26,2019-04-19 14:17:33+00:00,,,We are looking at potential things that we can do as a part of a pavement project on Hwy 93 in 2022. Our desire would be to make slight vertical road & drainage adjustments that would keep the road open until the flood wall needs to be installed to protect Henderson.,official,mndotscentral
27,2019-04-19 14:07:56+00:00,,,We understand the frustration felt by those impacted by this challenging spring. In 2017 we completed a study (w/ Sibley and Le Sueur Co and City of Henderson) of potential mitigation options. Here is a link. http://www.dot.state.mn.us/d7/projects/hwy19study/ …,official,mndotscentral
28,2019-04-18 22:10:44+00:00,,,SB 169 St Peter to Mankato is now open!!,official,mndotscentral
29,2019-04-18 21:32:23+00:00,,,Southbound Hwy 169 Mankato to St. Peter to open by 7 p.m. today.,official,mndotscentral
30,2019-04-18 19:56:46+00:00,,,"Heads up - SB Hwy 169 Mankato to St. Peter will NOT OPEN in time for afternoon commute. Crews are hard at it, but removing all the debris from the multiple mudslides is slow going. Please, for everyone's safety - stay off southbound lanes.",official,mndotscentral
31,2019-04-18 16:37:31+00:00,,,Here we go again... the Rush River is now overtopping Hwy 93 S of Henderson. Minnesota River is rising and beginning to encroach at Bucks Lake and near Henderson. Henderson will be reinstalling their flood wall this evening.pic.twitter.com/93nyNKi3p9,official,mndotscentral
32,2019-04-18 16:30:27+00:00,,,Learning to stop the bleed at Toward Zero Deaths workshop for traffic safety folks today in Mankato.pic.twitter.com/7LcetP7i1Z,official,mndotscentral
33,2019-04-18 16:24:34+00:00,,,You are correct. Hwy 93 from Hwy 169 to Le Sueur is at risk for overtopping.,official,mndotscentral
34,2019-04-18 14:27:33+00:00,,,"In south central Minnesota, MnDOT is monitoring closely the Minnesota River at Hwy 19 at Le Sueur and Hwy 99 at St. Peter. Heads up for potential closures, Check http://511mn.org https://twitter.com/MnDPS_HSEM/status/1118881229846319106 …",official,mndotscentral
35,2019-04-18 13:46:39+00:00,,,SB Hwy 169 Mankato & St. Peter will remain CLOSED for most of the day as crews clean and haul debris from mudslides that continued thru the night. Traffic detoured to Hwy 22. NB Hwy 169 is open. Check travel conditions on http://511mn.org before you go!pic.twitter.com/Z50j0kPePu,official,mndotscentral
36,2019-04-17 20:56:44+00:00,,,SB Hwy 169 St. Peter to Mankato - to remain closed overnight due to continuing mudslides. NB Hwy 169 St. Peter to Mankato - expected to remain open; travel with caution. Use Hwy 22 as alternate route.,official,mndotscentral
37,2019-04-17 19:34:02+00:00,,,Hwy 86 expected to open within the next hour.https://twitter.com/mndotscentral/status/1118179316280561665 …,official,mndotscentral
38,2019-04-17 18:49:00+00:00,,,We are experiencing periodic closures of northbound lanes. Sometimes both of them to clear debris.https://twitter.com/Mankatonews/status/1118583914937966592 …,official,mndotscentral
39,2019-04-17 17:29:00+00:00,,,Travel Alert ROAD CLOSED Hwy 112 at 311th Ave S of LeSueur. Water over the road.pic.twitter.com/W7hT1pKvVN,official,mndotscentral
40,2019-04-17 17:23:34+00:00,,,"Turn around, don't drowned! In addition to mudslides along Hwy 169, we have water over the road on Hwy 112 by Le Sueur.https://twitter.com/NWSTwinCities/status/1118564108952068106 …",official,mndotscentral
41,2019-04-17 17:06:46+00:00,,,"Hwy 169 south of St. Peter - mudslide situation is not improving, crews continue to clear mud, rocks and trees as the slides continue. Find alternate route!pic.twitter.com/kvSve9NqTO",official,mndotscentral
42,2019-04-17 16:14:03+00:00,,,Hwy 22 would be alternate routehttps://twitter.com/mndotscentral/status/1118547845592879107 …,official,mndotscentral
43,2019-04-17 16:12:42+00:00,,,Hwy 169southbound south of St. Peter - BLOCKED - due to mudslides and traffic. Please find alternate route!!!!,official,mndotscentral
44,2019-04-17 15:42:54+00:00,,,Also a mudslide on Hwy 169 just south of St. Peter. Caution advised.https://twitter.com/NWSTwinCities/status/1118536350922354688 …,official,mndotscentral
45,2019-04-17 15:01:19+00:00,,,Hwy 169 southbound - south of St. Peter - watch out for mud and rock slide - expect a lane closure.,official,mndotscentral
46,2019-04-16 19:02:26+00:00,,,Hwy 22 Victory Drive Memorial Project (Mankato to Mapleton) starts with staking today and planting in May. Much more at http://www.dot.state.mn.us/d7/projects/hwy22mapleton/victorydrive.html …pic.twitter.com/GafvaLpnEK,official,mndotscentral
47,2019-04-16 18:54:45+00:00,,,Hwy 60 Heron Lake - intersection safety project to begin April 29 with lane restrictions and speed reductions. More at http://www.dot.state.mn.us/d7/projects/hwy60heronlake/ …pic.twitter.com/qgOPxNDwzK,official,mndotscentral
48,2019-04-16 15:48:18+00:00,,,Hwy 86 north of Lakefield detoured for utility work until Thursday.pic.twitter.com/PkcDL1ban7,official,mndotscentral
49,2019-04-15 21:05:46+00:00,,,Excellent story - kudos to Mark!https://twitter.com/Mankatonews/status/1117830716958498816 …,official,mndotscentral
50,2019-04-15 19:22:37+00:00,,,Call Heidi at 507-304-6117 if you want to volunteer in south central Minnesota. We have 97 segments available - many along I-90.https://twitter.com/MnDOTnews/status/1117831305532792834 …,official,mndotscentral
51,2019-04-19 17:55:50+00:00,,,"Hwy 75 is now open north of Climax, which means it is driveable all the way through NW MN. Water remains on the road surface, so remain cautious. Check http://www.511mn.org for the latest road conditions.pic.twitter.com/nJbbAchn8W",official,MnDOTnorthwest
52,2019-04-19 16:15:48+00:00,,,Water has gone down around Halstad and Hwy 75 has been reopened (in both directions). Hwy's that remain closed: - Hwy 1 around Oslo - Hwy 2B Sorlie Bridge in EGF - Hwy 75 north of Climax - Hwy 175 west of Hallock - Hwy 220 north of Oslo - Hwy 317,official,MnDOTnorthwest
53,2019-04-19 15:40:20+00:00,,,Still staring/glaring at high water levels on Hwy 220 north of Oslo.pic.twitter.com/eJ2k8BUCM4,official,MnDOTnorthwest
54,2019-04-17 18:51:47+00:00,,,High water still causing closures in NW Mn: Hwy 1 east and west of Oslo Hwy 2B Sorlie Bridge in EGF Hwy 75 north of Halstad Hwy 75 south of Halstad Hwy 75 north of Climax Hwy 75 north of Noyes Hwy 175 west of Hallock Hwy 220 north of Oslo Hwy 317 west of Hwy 220pic.twitter.com/qkuAaoWEvj,official,MnDOTnorthwest
55,2019-04-22 23:00:23+00:00,,#HeadlightsOnpic,"Keep those headlights on today. They're required by law when it's raining. Remember: Wipers on, lights on. #HeadlightsOnpic.twitter.com/Xcqg3MU3qP",official,MnDPS_MSP
56,2019-04-22 22:00:29+00:00,,#HeadlightsOnpic,"Keep those headlights on today. They're required by law when it's raining -- and today will be soggy. Remember: Wipers on, lights on. #HeadlightsOnpic.twitter.com/ayPY2fHGl3",official,MnDPS_MSP
57,2019-04-22 21:05:07+00:00,,#BackseatTweets #JustDrive #DistractedDrivingpic,#BackseatTweets is back Tuesday from 4-7 p.m. Join us right here as Lt. Gordon Shank looks for distracted drivers in the metro area. #JustDrive #DistractedDrivingpic.twitter.com/cVAiDP95E2,official,MnDPS_MSP
58,2019-04-22 20:00:29+00:00,,#HeadlightsOnpic,"Keep those headlights on today. They're required by law when it's raining -- and today will be soggy. Remember: Wipers on, lights on. #HeadlightsOnpic.twitter.com/PX0u9Vnmjg",official,MnDPS_MSP
59,2019-04-22 19:15:11+00:00,,#BackseatTweets #JustDrive #DistractedDrivingpic,"Lt. Gordon Shank has a nose for drunk drivers. On Tuesday, we’ll see if he can track down distracted motorists. Backseat Tweets is back from 4-7 p.m. tomorrow. Be sure to follow along! #BackseatTweets #JustDrive #DistractedDrivingpic.twitter.com/BvUMrmZZXb",official,MnDPS_MSP
60,2019-04-22 18:07:31+00:00,,,Having a cell phone tucked into a head scarf is not against the hands-free law. The phone must be securely situated to remain hands-free and not blocking the driver’s vision. It would be against the new law is if the driver removes the phone and holds it to use in traffic.,official,MnDPS_MSP
61,2019-04-22 18:00:31+00:00,,#HeadlightsOnpic,"Keep those headlights on today. They're required by law when it's raining -- and today will be soggy. Remember: Wipers on, lights on. #HeadlightsOnpic.twitter.com/mbjPS35S1B",official,MnDPS_MSP
62,2019-04-22 16:00:34+00:00,,#HeadlightsOnpic,"Keep those headlights on today. They're required by law when it's raining -- and it sounds like today will be soggy. Remember: Wipers on, lights on. #HeadlightsOnpic.twitter.com/hR23AthBD3",official,MnDPS_MSP
63,2019-04-22 13:58:06+00:00,,#HeadlightsOnpic,"Keep those headlights on today. They're required by law when it's raining -- and it sounds like today will be soggy. Remember: Wipers on, lights on. #HeadlightsOnpic.twitter.com/QOb14y3TV3",official,MnDPS_MSP
64,2019-04-22 13:45:13+00:00,,,We’ll be joining law enforcement officials in the Moorhead area today and next Monday looking for distracted drivers. Distracted driving stops with you! Put away the distractions and just drive.https://twitter.com/ValleyNewsLive/status/1119240522319765504 …,official,MnDPS_MSP
65,2019-04-20 22:07:43+00:00,,,"Losing an officer in the line of duty is heartbreaking. We are thinking about the family, friends and partners of @mndnr Conservation Officer Eugene Wynn, who died last night during a search-and-rescue mission on Cross Lake near Pine City. May he rest in peace.",official,MnDPS_MSP
66,2019-04-20 19:20:12+00:00,,#JustDrivepic,Matt Boeve will live the rest of his life without his soulmate. And a man’s decision to drive distracted is to blame. Stop driving distracted before it stops you — or someone you love. Extra distracted driving enforcement continues through the end of the month. #JustDrivepic.twitter.com/jIeV3pBHXV,official,MnDPS_MSP
67,2019-04-20 17:19:42+00:00,,#JustDrive,"Trooper does ""a double take"" after seeing a male motorcyclist ride by him in Virginia looking at his phone on his lap. Trooper stops motorcyclist, who says he was looking on his maps for a hotel. Citation issued. Extra distracted enforcement continues on MN roads. #JustDrive",official,MnDPS_MSP
68,2019-04-19 20:15:20+00:00,,#HandsFreeMNpic,Col. Matt Langer says the new hands-free law that goes into effect Aug. 1 is about all the doors law enforcement won’t need to knock on to deliver devastating news. Don’t wait until Aug. 1. You can go hands-free today. Learn how at http://HandsFreeMN.org . #HandsFreeMNpic.twitter.com/p8VCf0OH0w,official,MnDPS_MSP
69,2019-04-19 13:53:54+00:00,,#JustDrive,A trooper stopped a commercial vehicle Thursday on I-94 near Fergus Falls after seeing the driver holding a phone & weaving across lane lines. There were Snapchat messages incoming on the phone while the trooper spoke w/the 29-year-old. Citation & warnings issued. #JustDrive,official,MnDPS_MSP
70,2019-04-19 13:10:38+00:00,,,"The first ticket is $50 plus court fees and the second and later tickets are $275 plus court fees. If a driver injures or kills someone because of texting and driving, they can face a felony charge of criminal vehicular operation or homicide.",official,MnDPS_MSP
71,2019-04-19 13:10:01+00:00,,,You're welcome!,official,MnDPS_MSP
72,2019-04-19 12:37:27+00:00,,#BearsThatCare,Troopers joined Officer Judy Hopps and McGruff the Crime Dog last week as they visited kids at @UMNChildrens and the @shrinershosp. Their visit was part of our #BearsThatCare program. https://www.bearsthatcaremn.org/ pic.twitter.com/SZp0GydfMA,official,MnDPS_MSP
73,2019-04-18 23:20:06+00:00,,#NTW #IAm911 #FirstFirstResponders #StatePatrolDispatchershttps,WATCH: We take you behind the scenes at our metro dispatch center as we continue to celebrate our dispatchers during National Telecommunicators Week. #NTW #IAm911 #FirstFirstResponders #StatePatrolDispatchershttps://youtu.be/tOsmd_JgUpk,official,MnDPS_MSP
74,2019-04-18 20:34:24+00:00,,,"The new law allows a driver to use their cell phone to make calls, text, listen to music or podcasts and get directions, but only by voice commands or single touch activation without holding the phone.",official,MnDPS_MSP
75,2019-04-18 20:34:01+00:00,,,"It goes into effect. Aug. 1, 2019.",official,MnDPS_MSP
76,2019-04-18 20:33:31+00:00,,,"The new law allows a driver to use their cell phone to make calls, text, listen to music or podcasts and get directions, but only by voice commands or single touch activation without holding the phone.",official,MnDPS_MSP
77,2019-04-18 20:32:08+00:00,,,You may access music on your phone by voice commands or single touch activation without holding the phone.,official,MnDPS_MSP
78,2019-04-18 20:31:38+00:00,,,"The first ticket is $50 plus court fees and the second and later tickets are $275 plus court fees. If a driver injures or kills someone because of texting and driving, they can face a felony charge of criminal vehicular operation or homicide.",official,MnDPS_MSP
79,2019-04-18 17:39:04+00:00,,#JustDrive #HandsFreeMNpic,"As extra distracted driving enforcement continues through April 30, Lt. Gordon Shank encourages motorists to put away the distractions and #JustDrive. Minnesota goes hands-free Aug. 1. But you can start today. Learn more at http://HandsFreeMN.org . #HandsFreeMNpic.twitter.com/kJ9DyITXbM",official,MnDPS_MSP
80,2019-04-17 19:05:09+00:00,,#JustDrive,Speeding = bad idea. Texting while driving = bad idea. Doing both at the same time? Terrible idea. A trooper cited a 24-year-old male Tuesday on Interstate 35 south of Sandstone after observing her texting will driving 80+ mph. #JustDrive,official,MnDPS_MSP
81,2019-04-17 17:14:57+00:00,,#JustDrive,We’ve said it before and we’ll say it again: Accessing the internet at a stoplight is ILLEGAL. A trooper cited a 20-year-old male Tuesday in Andover for watching a YouTube video at a red light. Extra distracted driving enforcement continues through April 30. #JustDrive,official,MnDPS_MSP
82,2019-04-16 15:20:10+00:00,,#DPSblog,"RT @MnDPS_DPS: Move over, screen time: Teen drivers and parents need windshield time. Learn more in our latest #DPSblog: http://ow.ly/vaY530oriF7 pic.twitter.com/Pm49WNUOR1",official,MnDPS_MSP
83,2019-04-16 00:01:08+00:00,,#HandsFreeMNpic,"Drive distraction free and speak up if you see your friends or anyone else distracted behind the wheel. Extra distracted driving enforcement is on Minnesota roads through April 30. Remember, the hands-free law goes into effect Aug. 1. More: http://handsfreemn.org #HandsFreeMNpic.twitter.com/2X9lTNuVL6",official,MnDPS_MSP
84,2019-04-15 18:55:09+00:00,,#StatePatrolDispatchers #NPSTW #FirstFirstResponderspic,We are proud to work with some of the best first first responders in the business. This is National Telecommunicators Week. A huge thank you to our State Patrol dispatchers and the hard work they do every day! #StatePatrolDispatchers #NPSTW #FirstFirstResponderspic.twitter.com/cYx4waQQAZ,official,MnDPS_MSP
85,2019-04-15 18:05:09+00:00,,#JustDrive,Trooper cited a female driver who was looking down at her phone on Interstate 35 in Forest Lake and rear-ended a full-sized pickup truck stopped for a red light. 300+ law enforcement agencies looking for distracted drivers through April 30. #JustDrive,official,MnDPS_MSP
86,2019-04-15 16:20:06+00:00,,#JustDrive,Trooper cited at 27-year-old male on University Avenue who was taking photos of a crash the trooper was responding to. Put away the distractions and #JustDrive.,official,MnDPS_MSP
87,2019-04-15 15:09:10+00:00,,#JustDrive,Trooper cited a 46-year-old at 394/169 after he drove around the trooper’s squad (flashing lights and all) blocking a ramp for a jackknifed semi. Driver was watching a video. Drive time is not down time. Stop driving distracted before it stops you or someone you love. #JustDrive,official,MnDPS_MSP
88,2019-04-15 14:50:46+00:00,,#HandsFreeMNhttps,“Lives won’t be saved by writing tickets but by drivers not even considering picking up their phones.” More about the new law and what it means for you when it goes into effect Aug. 1: http://handsfreemn.org/ #HandsFreeMNhttps://twitter.com/PioneerPress/status/1117781367666900992 …,official,MnDPS_MSP
89,2019-04-15 14:11:51+00:00,,,You can learn more at http://handsfreemn.org .,official,MnDPS_MSP
90,2019-04-22 20:04:49+00:00,,,Please join us tomorrow for the Hwy 47 St. Francis Public Open House/Listening Session from 4:30 – 7:30 pm at the First Baptist Church in St. Francis. Attendees are welcome to come and go at any time and may view a presentation at 5 p.m. or 6:30 p.m. http://mndot.gov/metro/projects/hwy47stfrancis …pic.twitter.com/bP4vj9BR4V,official,MnDOTnews
91,2019-04-22 18:21:20+00:00,,,[News] MnDOT awards $2.3 million in Safe Routes to School grantshttp://mndot.gov/newsrels/19/04/22-saferoutes.html …,official,MnDOTnews
92,2019-04-22 18:20:57+00:00,,,"MnDOT's Adopt a Highway program has more than 3,500 volunteer groups that spent 282,000 hours picking up 36,000 bags of litter from state roadways last year. Learn more: http://mndot.gov/adopt pic.twitter.com/aLEkhX3fJB",official,MnDOTnews
93,2019-04-22 18:20:56+00:00,,#EarthDay2019,"We might be biased, but we think Minnesota is one of the most beautiful places on Earth. #EarthDay2019 Help us keep it that way by covering and/or securing anything you're hauling. Not only is trash along our roadsides unsightly, but litter also impacts natural habitats.pic.twitter.com/oBOqKCCjGB",official,MnDOTnews
94,2019-04-22 17:15:04+00:00,,,Annapolis St in West St Paul: Annapolis St is closed to thru traffic btwn Smith Ave and Cherokee Heights Blvd until late May. http://mndot.gov/metro/projects/hwy149highbridge …,official,MnDOTnews
95,2019-04-22 16:30:44+00:00,,,"Hi there, the city of Minneapolis' government ( @CityMinneapolis) oversees the scooters in the city, not MnDOT. More info:https://twitter.com/CityMinneapolis/status/1120345088385699840 …",official,MnDOTnews
96,2019-04-22 16:26:02+00:00,,,"Hi there, we are resurfacing westbound I-90. The project will be broken into 3 stages. We are in stages 1 & 2 right now. Detour maps: http://www.dot.state.mn.us/d6/projects/i90-concreteoverlay/documents.html … http://511mn.org will also have more info as we get closer to the closure.",official,MnDOTnews
97,2019-04-22 14:55:05+00:00,,,"Hi, the city government [ @CityMinneapolis] oversees city streets and the scooters who use them. (MnDOT oversees state highways and interstates) It looks like Minneapolis reauthorized a one-year electric scooter pilot: http://www.minneapolismn.gov/publicworks/trans/WCMSP-212816 …",official,MnDOTnews
98,2019-04-22 13:55:47+00:00,,,See and be seen—headlights on today!pic.twitter.com/wpZNd5y3Ic,official,MnDOTnews
99,2019-04-19 21:07:53+00:00,,,"If you would like more info or to talk to MnDOT project staff, you can reach out to Dave Aeikens at david.aeikens@state.mn.us or 651-234-7511.",official,MnDOTnews
100,2019-04-19 21:07:31+00:00,,,"Hello, thank you for bringing the issue to our attention. We apologize for the situation this morning, it did not follow MnDOT's protocol for lane (including bike lane) closures. We have made sure our crew, engineers and contractors were addressed on the issue.",official,MnDOTnews
101,2019-04-19 20:48:07+00:00,,,10 students from @BlaineHS and 9 students from @MPS_Wellstone toured the 35W@94 project site as a part of the WTS Transportation YOU mentoring program. The program works to spark interest in all modes of transportation. Full story: http://blog.35wat94.com/wts-transportation-you-program-visits-35w-94 …pic.twitter.com/9d6JcNCcIy,official,MnDOTnews
102,2019-04-19 16:40:47+00:00,,,"For all road emergencies, including debris, call 911 and be ready to describe it's location—road, city, near exit X/mile marker X, etc.",official,MnDOTnews
103,2019-04-19 15:20:30+00:00,,,"Hi there, thanks for reaching out. Hwy 77, from Old Shakopee Road in Bloomington to Hwy 62 in Minneapolis, is scheduled for a mill and overlay in 2022. In the meantime, we will continue to do seasonal maintenance on the road. http://mndot.gov/planning/10yearplan/index.html …",official,MnDOTnews
104,2019-04-19 15:16:03+00:00,,,"Hi Janne, traveler safety is a top priority for MnDOT. We value your feedback and would like to hear your concerns. You can reach out to our project communications coordinator, Dave Aeikens at 651-234-7511 or david.aeikens@state.mn.us.",official,MnDOTnews
105,2019-04-19 15:11:40+00:00,,,"Staying close to home or hitting the highway, don't be caught off guard by flooding or construction closures. Metro traffic impacts: http://mndot.gov/weekendtrafficimpacts … Statewide closure info: http://511mn.org pic.twitter.com/ojRmZe7nid",official,MnDOTnews
106,2019-04-19 13:38:12+00:00,,,"Staying close to home or hitting the highway, don't get caught off guard by closures due to flooding or construction. Check http://511mn.org before you head out.",official,MnDOTnews
107,2019-04-19 13:35:10+00:00,,,Will you be traveling this weekend?,official,MnDOTnews
108,2019-04-19 13:29:29+00:00,,,"Unfortunately, yes. The closure was originally scheduled for last weekend and had to be postponed due to the weather. Delaying another week would make the project 2 weeks behind and we'd like to avoid that. We are closing Tamarack Rd. to local access so that it is a short detour.pic.twitter.com/qh2wuMlpsv",official,MnDOTnews
109,2019-04-19 09:45:04+00:00,,,I-94 in Woodbury/Oakdale: EB I-94 at the I-94/I-494/I-694 interchange will close from 8pm tonight (4/19) until 5am Mon (4/22). Detours and more details at: http://mndot.gov/metro/projects/i94-494-694 …,official,MnDOTnews
110,2019-04-18 21:08:07+00:00,,,"That's a good question. Unfortunately, we don't have an answer for you. The Dept. of Public Safety ( @MnDPS_DPS) oversees license plates in Minnesota. http://dps.mn.gov/divisions/dvs/Pages/search-dvs.aspx?filter1=License%20Plates&filter2=Specialized%20Plates …",official,MnDOTnews
111,2019-04-18 19:27:20+00:00,,,"Hi Lee, don't worry, we have other crew members who help out with loading, etc. We don't mean to imply the ENTIRE operation is 1 person, rather, the part of the process that used to require 3 people has been simplified—meaning 2 crew members are now free to work on something else",official,MnDOTnews
112,2019-04-18 19:01:48+00:00,,,The bags are used to help with flooding and other standard maintenance projects. More on MnDOT's maintenance research: http://mndot.gov/maintenance/research …,official,MnDOTnews
