,date,text,keywords,location,source,ngrams,spacy_location,spacy_location_no_ngram
10,2017-12-01 00:50:54+00:00,"Hwy 95 closed west of #PrincetonMN , near Hwy 47. Semi has been uprighted, road is still closed. #MilleLacsCounty",#PrincetonMN #MilleLacsCounty,,twitter,(47 Semi) (47 Semi uprighted) (95 closed) (95 closed west) (Hwy 47) (Hwy 47 Semi) (Hwy 95) (Hwy 95 closed) (PrincetonMN near) (PrincetonMN near Hwy) (Semi uprighted) (Semi uprighted road) (closed MilleLacsCounty) (closed west) (closed west PrincetonMN) (near Hwy) (near Hwy 47) (road closed) (road closed MilleLacsCounty) (uprighted road) (uprighted road closed) (west PrincetonMN) (west PrincetonMN near) (text_combined) ,47 Semi 47 Semi 95 95 Hwy 47 Hwy 95 Hwy 95 Semi Semi MilleLacsCounty Hwy Hwy 47 MilleLacsCounty ,47 Semi 47 Semi 95 95 Hwy 47 Hwy 95 Hwy 95 Semi Semi MilleLacsCounty Hwy Hwy 47 MilleLacsCounty 
11,2017-09-07 19:11:30+00:00,"WB I-94 in Albertville, near MnROAD, could remain closed through rush hour. Check http:// 511mn.org RT @cityofstmichael #mntraffic",#mntraffic,,twitter,(511mn org) (511mn org RT) (94 Albertville) (94 Albertville near) (Albertville near) (Albertville near MnROAD) (Check http) (Check http 511mn) (I 94) (I 94 Albertville) (MnROAD remain) (MnROAD remain closed) (RT cityofstmichael) (RT cityofstmichael mntraffic) (WB I) (WB I 94) (cityofstmichael mntraffic) (closed rush) (closed rush hour) (hour Check) (hour Check http) (http 511mn) (http 511mn org) (near MnROAD) (near MnROAD remain) (org RT) (org RT cityofstmichael) (remain closed) (remain closed rush) (rush hour) (rush hour Check) (text_combined) ,511mn 511mn RT 94 Albertville 94 Albertville Albertville Albertville MnROAD 94 94 Albertville MnROAD MnROAD WB WB 94 511mn 511mn MnROAD MnROAD RT ,511mn 511mn RT 94 Albertville 94 Albertville Albertville Albertville MnROAD 94 94 Albertville MnROAD MnROAD WB WB 94 511mn 511mn MnROAD MnROAD RT 
12,2017-01-10 19:42:20+00:00,"Hwy 10 closed at Halfway Crossing, west of Rice. Black ice is popping up on most roads in @StCloudMN area, especially on higher speed roads https:// twitter.com/MSPPIO_NW/stat us/818889113810194433 …",,,twitter,(10 closed) (10 closed Halfway) (Black ice) (Black ice popping) (Crossing west) (Crossing west Rice) (Halfway Crossing) (Halfway Crossing west) (Hwy 10) (Hwy 10 closed) (MSPPIO_NW stat) (MSPPIO_NW stat 818889113810194433) (Rice Black) (Rice Black ice) (StCloudMN area) (StCloudMN area especially) (area especially) (area especially higher) (closed Halfway) (closed Halfway Crossing) (com MSPPIO_NW) (com MSPPIO_NW stat) (especially higher) (especially higher speed) (higher speed) (higher speed roads) (https twitter) (https twitter com) (ice popping) (ice popping roads) (popping roads) (popping roads StCloudMN) (roads StCloudMN) (roads StCloudMN area) (roads https) (roads https twitter) (speed roads) (speed roads https) (stat 818889113810194433) (twitter com) (twitter com MSPPIO_NW) (west Rice) (west Rice Black) (text_combined) ,10 10 Halfway Halfway Crossing Halfway Crossing 10 10 818889113810194433 Rice Black Rice Black Halfway Halfway Crossing StCloudMN StCloudMN StCloudMN area 818889113810194433 Rice Rice Black ,10 10 Halfway Halfway Crossing Halfway Crossing 10 10 818889113810194433 Rice Black Rice Black Halfway Halfway Crossing StCloudMN StCloudMN StCloudMN area 818889113810194433 Rice Rice Black 
13,2016-12-22 17:12:12+00:00,Hwy 24 #Clearwater - road is closed now while crews deliver first beam for new bridge. Reopen in 5 or so minutes. Stay tuned for updates. RT pic.twitter.com/xdLfgDl1Ea,#Clearwater,,twitter,(24 Clearwater) (24 Clearwater road) (5 minutes) (5 minutes Stay) (Clearwater road) (Clearwater road closed) (Hwy 24) (Hwy 24 Clearwater) (RT pic) (RT pic twitter) (Reopen 5) (Reopen 5 minutes) (Stay tuned) (Stay tuned updates) (beam new) (beam new bridge) (bridge Reopen) (bridge Reopen 5) (closed crews) (closed crews deliver) (com xdLfgDl1Ea) (crews deliver) (crews deliver beam) (deliver beam) (deliver beam new) (minutes Stay) (minutes Stay tuned) (new bridge) (new bridge Reopen) (pic twitter) (pic twitter com) (road closed) (road closed crews) (tuned updates) (tuned updates RT) (twitter com) (twitter com xdLfgDl1Ea) (updates RT) (updates RT pic) (text_combined) ,24 Clearwater 24 Clearwater 5 minutes 5 minutes Reopen 5 Reopen 5 minutes Reopen Reopen 5 minutes Stay Reopen ,24 Clearwater 24 Clearwater 5 minutes 5 minutes Reopen 5 Reopen 5 minutes Reopen Reopen 5 minutes Stay Reopen 
14,2016-11-18 19:52:02+00:00,WB I-94 at Sauk Centre closed due to crash. No travel recommended. See http://www. 511mn.org for current roads where travel not advised.,,,twitter,(511mn org) (511mn org current) (94 Sauk) (94 Sauk Centre) (Centre closed) (Centre closed crash) (I 94) (I 94 Sauk) (No travel) (No travel recommended) (Sauk Centre) (Sauk Centre closed) (See http) (See http www) (WB I) (WB I 94) (closed crash) (closed crash No) (crash No) (crash No travel) (current roads) (current roads travel) (http www) (http www 511mn) (org current) (org current roads) (recommended See) (recommended See http) (roads travel) (roads travel advised) (travel advised) (travel recommended) (travel recommended See) (www 511mn) (www 511mn org) (text_combined) ,511mn 511mn 94 94 Sauk Centre 94 Sauk Centre Sauk Centre WB WB 94 511mn 511mn 511mn ,511mn 511mn 94 94 Sauk Centre 94 Sauk Centre Sauk Centre WB WB 94 511mn 511mn 511mn 
15,2016-07-15 20:07:42+00:00,"Check out @Kanabec_Sheriff facebook page for more info on which county and local roads are open, which are closed in #Kanabec County #flood",#Kanabec #flood,,twitter,(Check Kanabec_Sheriff) (Check Kanabec_Sheriff facebook) (County flood) (Kanabec County) (Kanabec County flood) (Kanabec_Sheriff facebook) (Kanabec_Sheriff facebook page) (closed Kanabec) (closed Kanabec County) (county local) (county local roads) (facebook page) (facebook page info) (info county) (info county local) (local roads) (local roads open) (open closed) (open closed Kanabec) (page info) (page info county) (roads open) (roads open closed) (text_combined) ,Kanabec_Sheriff Kanabec_Sheriff Kanabec County Kanabec County Kanabec_Sheriff Kanabec_Sheriff Kanabec Kanabec County Kanabec ,Kanabec_Sheriff Kanabec_Sheriff Kanabec County Kanabec County Kanabec_Sheriff Kanabec_Sheriff Kanabec Kanabec County Kanabec 
16,2016-07-12 21:50:21+00:00,"Ramps from Hwy 169 to NB Mille Lacs County Road 36 are closed. CR 36 closed north of Hwy 169, south of #Milaca . @millelacstimes",#Milaca,,twitter,(169 NB) (169 NB Mille) (169 south) (169 south Milaca) (36 closed) (36 closed CR) (36 closed north) (CR 36) (CR 36 closed) (County Road) (County Road 36) (Hwy 169) (Hwy 169 NB) (Hwy 169 south) (Lacs County) (Lacs County Road) (Milaca millelacstimes) (Mille Lacs) (Mille Lacs County) (NB Mille) (NB Mille Lacs) (Ramps Hwy) (Ramps Hwy 169) (Road 36) (Road 36 closed) (closed CR) (closed CR 36) (closed north) (closed north Hwy) (north Hwy) (north Hwy 169) (south Milaca) (south Milaca millelacstimes) (text_combined) ,169 169 169 169 36 36 CR 36 CR 36 CR (County Road County Road 36 169 169 Lacs County Lacs County Road Milaca Mille Lacs Mille Lacs County Mille Mille Lacs Ramps Hwy Ramps Hwy 169 36 36 CR CR 36 Hwy Hwy Hwy 169 Milaca Milaca ,169 169 169 169 36 36 CR 36 CR 36 CR (County Road County Road 36 169 169 Lacs County Lacs County Road Milaca Mille Lacs Mille Lacs County Mille Mille Lacs Ramps Hwy Ramps Hwy 169 36 36 CR CR 36 Hwy Hwy Hwy 169 Milaca Milaca 
17,2016-06-23 16:27:37+00:00,"Hwy 47 at #IsantiCounty Road 8, north of #StFrancisMN , is closed due to a crash. Seek alternate routes. @isanticonews @IsantiCountyMN",#IsantiCounty #StFrancisMN,,twitter,(47 IsantiCounty) (47 IsantiCounty Road) (8 north) (8 north StFrancisMN) (Hwy 47) (Hwy 47 IsantiCounty) (IsantiCounty Road) (IsantiCounty Road 8) (Road 8) (Road 8 north) (Seek alternate) (Seek alternate routes) (StFrancisMN closed) (StFrancisMN closed crash) (alternate routes) (alternate routes isanticonews) (closed crash) (closed crash Seek) (crash Seek) (crash Seek alternate) (isanticonews IsantiCountyMN) (north StFrancisMN) (north StFrancisMN closed) (routes isanticonews) (routes isanticonews IsantiCountyMN) (text_combined) ,47 IsantiCounty 47 IsantiCounty Road 8 8 Hwy 47 47 IsantiCounty Road IsantiCounty Road 8) 8 StFrancisMN StFrancisMN Seek Seek Seek IsantiCountyMN StFrancisMN StFrancisMN IsantiCountyMN ,47 IsantiCounty 47 IsantiCounty Road 8 8 Hwy 47 47 IsantiCounty Road IsantiCounty Road 8) 8 StFrancisMN StFrancisMN Seek Seek Seek IsantiCountyMN StFrancisMN StFrancisMN IsantiCountyMN 
18,2019-04-11 23:44:38+00:00,Hwy 13 is open again after being closed from New Richland to I-90 at Albert Lea because of numerous downed power lines. Check http://www. 511mn.org for updated road conditions,,,twitter,(13 open) (13 open closed) (511mn org) (511mn org updated) (90 Albert) (90 Albert Lea) (Albert Lea) (Albert Lea numerous) (Check http) (Check http www) (Hwy 13) (Hwy 13 open) (I 90) (I 90 Albert) (Lea numerous) (Lea numerous downed) (New Richland) (New Richland I) (Richland I) (Richland I 90) (closed New) (closed New Richland) (downed power) (downed power lines) (http www) (http www 511mn) (lines Check) (lines Check http) (numerous downed) (numerous downed power) (open closed) (open closed New) (org updated) (org updated road) (power lines) (power lines Check) (road conditions) (updated road) (updated road conditions) (www 511mn) (www 511mn org) (text_combined) ,13 13 511mn 511mn 90 Albert Albert Lea Albert Lea Albert Lea 13 13 90 Albert Lea 511mn Check Check New Check 511mn 511mn ,13 13 511mn 511mn 90 Albert Albert Lea Albert Lea Albert Lea 13 13 90 Albert Lea 511mn Check Check New Check 511mn 511mn 
19,2019-04-11 16:32:39+00:00,Road Closed: Highway 13 from I-90 to New Richland is closed due to downed power lines. #mndot #mnroads #AlbertLeaMN pic.twitter.com/2O5lDfw38a,#mndot #mnroads #AlbertLeaMN,,twitter,(13 I) (13 I 90) (90 New) (90 New Richland) (AlbertLeaMN pic) (AlbertLeaMN pic twitter) (Closed Highway) (Closed Highway 13) (Highway 13) (Highway 13 I) (I 90) (I 90 New) (New Richland) (New Richland closed) (Richland closed) (Richland closed downed) (Road Closed) (Road Closed Highway) (closed downed) (closed downed power) (com 2O5lDfw38a) (downed power) (downed power lines) (lines mndot) (lines mndot mnroads) (mndot mnroads) (mndot mnroads AlbertLeaMN) (mnroads AlbertLeaMN) (mnroads AlbertLeaMN pic) (pic twitter) (pic twitter com) (power lines) (power lines mndot) (twitter com) (twitter com 2O5lDfw38a) (text_combined) ,13 13 90 90 90 Closed Highway Closed Highway 13 13 13 90 90 New Richland New Richland Richland Richland AlbertLeaMN AlbertLeaMN AlbertLeaMN ,13 13 90 90 90 Closed Highway Closed Highway 13 13 13 90 90 New Richland New Richland Richland Richland AlbertLeaMN AlbertLeaMN AlbertLeaMN 
20,2019-04-11 12:51:03+00:00,"TRAFFIC ALERT: I-90 at Alden (mile marker 146) power lines are down on the highway west of Albert Lea. Do not cross. Road will be closed temporarily until lines can be removed from road. Be safe. Stay back. Move over for crews, check http://www. 511mn.org",,,twitter,(146 power) (146 power lines) (511mn org) (90 Alden) (90 Alden mile) (ALERT I) (ALERT I 90) (Albert Lea) (Albert Lea Do) (Alden mile) (Alden mile marker) (Be safe) (Be safe Stay) (Do cross) (Do cross Road) (I 90) (I 90 Alden) (Lea Do) (Lea Do cross) (Move crews) (Move crews check) (Road closed) (Road closed temporarily) (Stay Move) (Stay Move crews) (TRAFFIC ALERT) (TRAFFIC ALERT I) (check http) (check http www) (closed temporarily) (closed temporarily lines) (crews check) (crews check http) (cross Road) (cross Road closed) (highway west) (highway west Albert) (http www) (http www 511mn) (lines highway) (lines highway west) (lines removed) (lines removed road) (marker 146) (marker 146 power) (mile marker) (mile marker 146) (power lines) (power lines highway) (removed road) (removed road Be) (road Be) (road Be safe) (safe Stay) (safe Stay Move) (temporarily lines) (temporarily lines removed) (west Albert) (west Albert Lea) (www 511mn) (www 511mn org) (text_combined) ,146 146 511mn 90 Alden 90 Alden mile 90 Albert Lea Albert Lea Road 90 90 Alden Stay Move Stay Move Road Road Albert 511mn 146 146 146 Stay Move Albert Albert Lea 511mn 511mn ,146 146 511mn 90 Alden 90 Alden mile 90 Albert Lea Albert Lea Road 90 90 Alden Stay Move Stay Move Road Road Albert 511mn 146 146 146 Stay Move Albert Albert Lea 511mn 511mn 
