,index,text,description,modified_text_A,modified_text_B,modified_text_C,modified_text_D,modified_text_E,location_original,location_A,location_B,location_C,location_D,location_E,all_locations
49,49,No Travel Advised issued for portions of south central North Dakota,"No Travel Advised issued for portions of south central North Dakota; Travel Alert issued for southwestern North DakotaThe North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have issued a No Travel Advisory for portions of south central North Dakota due icy roads and high winds creating hazardous driving conditions. Cities included in the No Travel Advisory are Glen Ullin, Center, Flasher, Mandan, and surrounding areas. A No Travel Advisory means conditions are such that motorists should not travel in these areas.
A Travel Alert has been issued for southwestern North Dakota due to blowing snow creating reduced visibility and area of scattered ice. Cities included in the Travel Alert are Dickinson, Beach, Bowman, Killdeer, and surrounding areas. A Travel Alert means conditions are such that motorists can still travel in these areas, but should be advised of rapidly changing conditions. Motorists are encouraged to wear seat belts, reduce speed, and drive according to the conditions.
A Travel Alert remains in effect for portions of south central and southeastern North Dakota reduced visibility and slippery road conditions. Cities include Bismarck, Jamestown, Valley City, Ashley, Linton, Fargo Wahpeton, Gwinner, Hillsboro, and surrounding areas.
The National Weather Service has issued a Blizzard Warning for central and eastern North Dakota. It is expected that conditions will deteriorate, and travel will be greatly impacted as the result of this storm system. Motorists are advised to watch for travel advisories issued by law enforcement and NDDOT and head the warnings.
The three categories are as follows:1. TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
2. NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
3. ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.
Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",No Travel Advised issued for portions of south central North Dakota,At No Travel Advised issued for portions of south central North Dakota,At No Travel Advised issued for portions of south central North Dakota,At No Travel Advised issued for portions of south central North Dakota,At No Travel Advised issued for portions of south central North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
50,50,Travel Alert extended to southeastern North Dakota,"Travel Alert extended to southeastern North DakotaThe North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have extended the Travel Alert to southeastern North Dakota due to snow and rain creating slippery and slushy road conditions. Cities included in the Travel Alert are Fargo, Wahpeton, Gwinner, Hillsboro, and surrounding areas. A Travel Alert means conditions are such that motorists can still travel in these areas, but should be advised of rapidly changing conditions. Motorists are encouraged to wear seat belts, reduce speed, and drive according to the conditions.
A Travel Alert remains in effect for portions of central North Dakota reduced visibility and slippery road conditions. Cities include Bismarck, Jamestown, Valley City, Glen Ullin, Ashley, Linton, and surrounding areas.
The National Weather Service has issued a Blizzard Warning for central and eastern North Dakota. It is expected that conditions will deteriorate, and travel will be greatly impacted as the result of this storm system. Motorists are advised to watch for travel advisories issued by law enforcement and NDDOT and head the warnings.
The three categories are as follows:1. TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
2. NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
3. ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.
Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",Travel Alert extended at southeastern North Dakota,At Travel Alert extended to southeastern North Dakota,At Travel Alert extended to southeastern North Dakota,At Travel Alert extended to southeastern North Dakota,At Travel Alert extended to southeastern North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
51,51,Travel Alert issued for central portions of North Dakota ,"The North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have issued a Travel Alert for areas in central North Dakota due to reduced visibility and slippery road conditions. Cities included in the Travel Alert are Bismarck, Jamestown, Valley City, Glenn Ulin, Ashley, Linton and surrounding areas. A Travel Alert means conditions are such that motorists can still travel in these areas, but should be advised of rapidly changing conditions. Motorists are encouraged to wear seat belts, reduce speed, and drive according to the conditions.
The National Weather Service has issued a Blizzard Warning for central and eastern North Dakota. It is expected that conditions will deteriorate and travel will be greatly impacted as a result of this storm system. Motorists are advised to watch for travel advisories issued by law enforcement and NDDOT and head the warnings.
NDDOT releases information to inform the public about travel conditions throughout the state. The three categories are as follows:

TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate. 
NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate. 
ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250. 

Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported. 
All travelers are encouraged to monitor road conditions as weather conditions occur and use caution while traveling. For road information, call 511 from any type of phone or go to the Travel Information Map at www.dot.nd.gov. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",Travel Alert issued for central portions of North Dakota ,At Travel Alert issued for central portions of North Dakota ,At Travel Alert issued for central portions of North Dakota ,At Travel Alert issued for central portions of North Dakota ,At Travel Alert issued for central portions of North Dakota ,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
52,52,I-94 OPENED from Jamestown to Fargo; I-29 OPENED from Grand Forks to South Dakota border; No Travel Advisory LIFTED for eastern North Dakota,"March 10, 20198:50 a.m.I-94 OPENED from Jamestown to Fargo; I-29 OPENED from Grand Forks to South Dakota border; No Travel Advisory LIFTED for eastern North DakotaThe North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have OPENED I-94 eastbound and westbound lanes from Jamestown to Fargo. A Travel Alert remains in effect in the area due to slippery road conditions.
I-29 OPENED northbound and southbound lanes from Grand Forks to the South Dakota Border. A Travel Alert remains in effect due to slippery road conditions.
ND Highway 13 OPENED from I-29 to Wahpeton.
The No Travel Advisory has been LIFTED from eastern North Dakota. A Travel Alert remains in effect in the area due to slippery road conditions. Cities include Fargo, Wahpeton, Grand Forks, Drayton, Pembina, and surrounding areas.
The Travel Alert remains in effect for central North Dakota due to slippery road conditions. Cities include Bismarck, Minot, Devils Lake, Jamestown, Valley City, and surrounding areas. Motorists should be aware of snow drifts on secondary roads.
The three categories are as follows:1. TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
2. NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
3. ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.
Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",Interstate 94 ED at Jamestown at Fargo; Interstate 29 ED at Grand Forks at South Dakota border; No Travel Advisory  for eastern North Dakota,At Interstate 94 ED from Jamestown to Fargo; Interstate 29 ED from Grand Forks to South Dakota border; No Travel Advisory  for eastern North Dakota,At Interstate 94 ED from Jamestown to Fargo; Interstate 29 ED from Grand Forks to South Dakota border; No Travel Advisory  for eastern North Dakota,At Interstate 94 ED from Jamestown to Fargo; Interstate 29 ED from Grand Forks to South Dakota border; No Travel Advisory  for eastern North Dakota,At Interstate 94 ED from Jamestown to Fargo; Interstate 29 ED from Grand Forks to South Dakota border; No Travel Advisory  for eastern North Dakota,"{'Fargo', 'Jamestown', 'Grand Forks', 'North Dakota', 'South Dakota'}","{'Interstate 29 ED', 'Jamestown at Fargo', 'Grand Forks', 'North Dakota', 'South Dakota'}","{'Fargo', 'Interstate 29 ED', 'Jamestown', 'Grand Forks', 'North Dakota', 'South Dakota'}","{'Fargo', 'Interstate 29 ED', 'Jamestown', 'Grand Forks', 'North Dakota', 'South Dakota'}","{'Fargo', 'Interstate 29 ED', 'Jamestown', 'Grand Forks', 'North Dakota', 'South Dakota'}","{'Fargo', 'Interstate 29 ED', 'Jamestown', 'Grand Forks', 'North Dakota', 'South Dakota'}","{'Fargo', 'Interstate 29 ED', 'Jamestown', 'Jamestown at Fargo', 'Grand Forks', 'North Dakota', 'South Dakota'}"
53,53,I-94 OPENED from Bismarck to Jamestown; No Travel Advisory LIFTED for south central North Dakota,"I-94 OPENED from Bismarck to Jamestown; No Travel Advisory LIFTED for south central North DakotaThe North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have OPENED I-94 eastbound and westbound lanes from Bismarck to Jamestown. A Travel Alert remains in effect in the area due to slippery road conditions.
The No Travel Advisory has been LIFTED for south central North Dakota. A Travel Alert remains in effect in the area due to slippery road conditions. Cities include Steele, Napoleon, Jamestown, Valley City, Ellendale and surrounding areas.
I-94 CLOSED eastbound and westbound lanes from Jamestown to Fargo due to blowing snow creating slippery road conditions, near zero visibility, and life threatening driving conditions.
I-29 CLOSED northbound and southbound lanes from Grand Forks to the South Dakota border due to heavy snow and blowing snow creating slippery road conditions, near zero visibility, and life threatening driving conditions. The South Dakota Officials have also closed I-29 from the North Dakota border to Watertown, South Dakota. ND Highway 13 from I-29 to Wahpeton is also CLOSED.
A No Travel Advisory remains in effect for eastern North Dakota due to heavy snow creating slippery road conditions, near zero visibility, and hazardous driving conditions. Cities include Fargo, Wahpeton, Grand Forks, Drayton, Pembina, and surrounding areas.
The Travel Alert remains in effect for central North Dakota due to heavy snow creating slippery road conditions and reduced visibility. Cities include Bismarck, Minot, Devils Lake, Jamestown, Valley City, and surrounding areas. Motorist should be away of snow drifts on secondary roads.
The three categories are as follows:1. TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
2. NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
3. ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.
Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",Interstate 94 ED at Bismarck at Jamestown; No Travel Advisory  for south central North Dakota,At Interstate 94 ED from Bismarck to Jamestown; No Travel Advisory  for south central North Dakota,At Interstate 94 ED from Bismarck to Jamestown; No Travel Advisory  for south central North Dakota,At Interstate 94 ED from Bismarck to Jamestown; No Travel Advisory  for south central North Dakota,At Interstate 94 ED from Bismarck to Jamestown; No Travel Advisory  for south central North Dakota,"{'No Travel Advisory LIFTED', 'Jamestown', 'Bismarck', 'North Dakota'}",{'North Dakota'},"{'Jamestown', 'Bismarck', 'North Dakota'}","{'Jamestown', 'Bismarck', 'North Dakota'}","{'Jamestown', 'Bismarck', 'North Dakota'}","{'Jamestown', 'Bismarck', 'North Dakota'}","{'Jamestown', 'North Dakota', 'Bismarck', 'No Travel Advisory LIFTED'}"
54,54,I-29 CLOSED from Fargo to Grand Forks; I-94 CLOSED from Bismarck to Fargo,"I-29 CLOSED from Fargo to Grand Forks; I-94 CLOSED from Bismarck to FargoThe North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED I-29 northbound and southbound lanes from Fargo to Grand Forks and CLOSED I-94 eastbound and westbound lanes from Bismarck to Fargo due to snow and blowing snow creating slippery road conditions, near zero visibility, and life threatening driving conditions. Road Closed means motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250.
I-29 CLOSED northbound and southbound lanes from Fargo to the South Dakota border due to heavy snow and blowing snow creating slippery road conditions, near zero visibility, and life threatening driving conditions. The South Dakota Officials have also closed I-29 from the North Dakota border to Watertown, South Dakota. ND Highway 13 from I-29 to Wahpeton is also CLOSED.
A No Travel Advisory remains in effect for south central, southeastern, and northeastern North Dakota due to heavy snow creating slippery road conditions, near zero visibility, and hazardous driving conditions. Cities include Steele, Napoleon, Jamestown, Valley City, Ellendale, Fargo, Wahpeton, Grand Forks, Drayton, Pembina, and surrounding areas.
The Travel Alert remains in effect for central North Dakota due to heavy snow creating slippery road conditions and reduced visibility. Cities include Bismarck, Minot, Bottineau, Kenmare, Devils Lake, Carrington, Rolla, and surrounding areas.
The three categories are as follows:1. TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
2. NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
3. ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",Interstate 29  at Fargo at Grand Forks; Interstate 94  at Bismarck at Fargo,At Interstate 29  from Fargo to Grand Forks; Interstate 94  from Bismarck to Fargo,At Interstate 29  from Fargo to Grand Forks; Interstate 94  from Bismarck to Fargo,At Interstate 29  from Fargo to Grand Forks; Interstate 94  from Bismarck to Fargo,At Interstate 29  from Fargo to Grand Forks; Interstate 94  from Bismarck to Fargo,"{'Fargo', 'Grand Forks', 'Bismarck'}","{'Fargo', 'Grand Forks', 'Interstate 94  ', 'Bismarck'}","{'Fargo', 'Bismarck', 'Interstate 29  ', 'Grand Forks', 'Interstate 94  '}","{'Fargo', 'Bismarck', 'Interstate 29  ', 'Grand Forks', 'Interstate 94  '}","{'Fargo', 'Bismarck', 'Interstate 29  ', 'Grand Forks', 'Interstate 94  '}","{'Fargo', 'Bismarck', 'Interstate 29  ', 'Grand Forks', 'Interstate 94  '}","{'Fargo', 'Bismarck', 'Grand Forks', 'Interstate 94  ', 'Interstate 29  '}"
55,55,No Travel Advised issued for northeastern North Dakota,"No Travel Advised issued for northeastern North DakotaThe North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) issued a No Travel Advisory for northeastern North Dakota due to blowing snow creating slippery road conditions, near zero visibility, and hazardous driving conditions. Cities included in the No Travel Advisory are Grand Forks, Drayton, Pembina, and surrounding areas. A No Travel Advisory means conditions are such that motorists should not travel in these areas.
I-29 CLOSED northbound and southbound lanes due to heavy snow and blowing snow creating slippery road conditions, near zero visibility, and life threatening driving conditions. The South Dakota Officials have also closed I-29 from the North Dakota border to Watertown, South Dakota. ND Highway 13 from I-29 to Wahpeton is also CLOSED.
A No Travel Advisory remains in effect for south central and southeastern North Dakota due to heavy snow creating slippery road conditions, near zero visibility, and hazardous driving conditions. Cities include Steele, Napoleon, Flasher, Wishek, Gackle, Ashley, Kulm, Jamestown, Valley City, Ellendale, Fargo, Wahpeton, and surrounding areas.
The Travel Alert remains in effect for central North Dakota due to heavy snow creating slippery road conditions and reduced visibility. Cities include Bismarck, Minot, Bottineau, Kenmare, Devils Lake, Carrington, and surrounding areas.
The three categories are as follows:1. TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
2. NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
3. ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",No Travel Advised issued for northeastern North Dakota,At No Travel Advised issued for northeastern North Dakota,At No Travel Advised issued for northeastern North Dakota,At No Travel Advised issued for northeastern North Dakota,At No Travel Advised issued for northeastern North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
56,56,I-29 CLOSED from Fargo to South Dakota Border,"I-29 CLOSED from Fargo to South Dakota BorderThe North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have CLOSED I-29 northbound and southbound lanes from Fargo to the South Dakota border due to heavy snow and blowing snow creating slippery road conditions, near zero visibility, and life threatening driving conditions. The South Dakota Officials have also closed I-29 from the North Dakota border to Watertown, South Dakota. ND Highway 13 from I-29 to Wahpeton is also CLOSED.
A No Travel Advisory remains in effect for south central and southeastern North Dakota due to heavy snow creating slippery road conditions, near zero visibility, and hazardous driving conditions. Cities include Steele, Napoleon, Flasher, Wishek, Gackle, Ashley, Kulm, Jamestown, Valley City, Ellendale, Fargo, Wahpeton, and surrounding areas.
The Travel Alert remains in effect for northeastern, north central, and central North Dakota due to heavy snow creating slippery road conditions and reduced visibility. Cities include Bismarck, Minot, Bottineau, Kenmare, Devils Lake, Carrington, Grand Forks, and surrounding areas.
The three categories are as follows:1. TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
2. NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
3. ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",Interstate 29  at Fargo at South Dakota Border,At Interstate 29  from Fargo to South Dakota Border,At Interstate 29  from Fargo to South Dakota Border,At Interstate 29  from Fargo to South Dakota Border,At Interstate 29  from Fargo to South Dakota Border,"{'South Dakota', 'Fargo'}",{'Fargo'},"{'South Dakota', 'Fargo', 'Interstate 29  '}","{'South Dakota', 'Fargo', 'Interstate 29  '}","{'South Dakota', 'Fargo', 'Interstate 29  '}","{'South Dakota', 'Fargo', 'Interstate 29  '}","{'Fargo', 'Interstate 29  ', 'South Dakota'}"
57,57,Travel Alert extended to north central North Dakota,"Travel Alert extended to north central North DakotaThe North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have extended the Travel Alert to north central North Dakota due to blowing and drifting snow creating icy road conditions and reduced visibility. Cities included in the Travel Alert are Minot, Bottineau, Kenmare, and surrounding areas. A Travel Alert means conditions are such that motorists can still travel in these areas, but should be advised of rapidly changing conditions. Motorists are encouraged to wear seat belts, reduce speed, and drive according to the conditions.
A No Travel Advisory remains in effect for south central and southeastern North Dakota due to heavy snow creating slippery road conditions, near zero visibility, and hazardous driving conditions. Cities include Steele, Napoleon, Flasher, Wishek, Gackle, Ashley, Kulm, Jamestown, Valley City, Ellendale, Fargo, Wahpeton, and surrounding areas.
The Travel Alert remains in effect for northeastern and central North Dakota due to heavy snow creating slippery road conditions and reduced visibility. Cities include Bismarck, Devils Lake, Carrington, Grand Forks, and surrounding areas.
The three categories are as follows:1. TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
2. NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
3. ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",Travel Alert extended at north central North Dakota,At Travel Alert extended to north central North Dakota,At Travel Alert extended to north central North Dakota,At Travel Alert extended to north central North Dakota,At Travel Alert extended to north central North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
58,58,No Travel Advised for southeastern North Dakota,"No Travel Advised for southeastern North DakotaThe North Dakota Department of Transportation (NDDOT) along with the North Dakota Highway Patrol (NDHP) have issued a No Travel Advisory for southeastern North Dakota due to heavy snow creating slippery road conditions, near zero visibility, and hazardous driving conditions. Cities included in the No Travel Advisory are Jamestown, Valley City, Ellendale, Fargo, Wahpeton, and surrounding areas. A No Travel Advisory means conditions are such that motorists should not travel in these areas.
A No Travel Advisory remains in effect for south central North Dakota due to heavy snow creating slippery road conditions, near zero visibility, and hazardous driving conditions. Cities include Steele, Napoleon, Flasher, Wishek, Gackle, Ashley, Kulm, and surrounding areas.
The Travel Alert remains in effect for northeastern and central North Dakota due to heavy snow creating slippery road conditions and reduced visibility. Cities include Bismarck, Devils Lake, Carrington, Grand Forks, and surrounding areas.
The three categories are as follows:1. TRAVEL ALERT – Motorists can still travel but may encounter areas of challenging winter weather driving conditions on roadways. Motorists should allow extra time to reach their destination and be alert to conditions that may make travel difficult, change rapidly, or cause travel delays. A TRAVEL ALERT has the potential to change to a NO TRAVEL ADVISED if conditions deteriorate.
2. NO TRAVEL ADVISED – Motorists should not travel due to hazardous conditions which may make it unsafe to travel. Snowplows may be pulled from the roads during severe conditions. Motorists should take NO TRAVEL ADVISED seriously as those motorists who choose to travel at their own risk may become stranded and emergency responders may not be able to reach them safely. A NO TRAVEL ADVISED has the potential to change to a ROAD CLOSED OR BLOCKED if conditions deteriorate.
3. ROAD CLOSED OR BLOCKED – Motorists are not allowed to travel on a closed road due to life threatening conditions. The road may be impassible or blocked. Motorists who drive past a road closure device may be fined up to $250. Please be advised that road condition information on 511 and the travel map is updated daily from 5 a.m. until 10 p.m. CDT. The road report is based upon the information available to the NDDOT at the time of preparation and is provided solely as a public service. Conditions may vary from those reported.",No Travel Advised for southeastern North Dakota,At No Travel Advised for southeastern North Dakota,At No Travel Advised for southeastern North Dakota,At No Travel Advised for southeastern North Dakota,At No Travel Advised for southeastern North Dakota,{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'},{'North Dakota'}
